Chunk,Model,Model type,Faces,Faces 98%,Vertices,Vertices 98%,Faces resolution mean (m^2),Faces resolution mean 98% (m^2),Faces resolution median (m^2),Faces resolution median 98% (m^2),Faces max resolution (m^2),Faces min resolution (m^2),Faces resolution range (m^2),Faces max resolution 98% (m^2),Faces min resolution 98% (m^2),Faces resolution range 98% (m^2)
686,686_scene,Mesh,799030,783049,400462,392452,1.1731174567444386e-07,9.21813017624797e-08,5.630920053274552e-08,5.630920053274552e-08,0.00019321075676424323,3.264555224639118e-12,0.00019321075349968802,1.0118583078015524e-06,8.762175924528091e-09,1.0030961318770243e-06
686,686_open,Mesh,28563,27991,14360,14072,1.1604751095191718e-07,8.54025582515864e-08,5.639077279133941e-08,5.639077279133941e-08,0.00019321075676424323,3.264555224639118e-12,0.00019321075349968802,6.255662218092508e-07,1.1455767965080293e-08,6.141104538441705e-07
686,686_closed,Mesh,33010,32349,16501,16170,1.1451531530030674e-07,8.120170453397514e-08,5.633400921134753e-08,5.633400921134753e-08,0.00019321075676424323,3.264555224639118e-12,0.00019321075349968802,4.6168656420077257e-07,1.2434024876532967e-08,4.492525393242396e-07
689,689_scene,Mesh,779210,763625,391465,383635,3.042973917257508e-07,2.417155429898179e-07,1.261394140392679e-07,1.261394140392679e-07,0.00019321075676424323,3.264555224639118e-12,0.00019321075349968802,2.3972496179972326e-06,1.3816162540722093e-08,2.3834334554565104e-06
689,689_open,Mesh,19863,19465,10086,9884,3.0672113111726463e-07,2.299523885096556e-07,1.2852805115993949e-07,1.2852805115993949e-07,0.00019321075676424323,3.264555224639118e-12,0.00019321075349968802,1.6225610453191895e-06,1.5296936910941488e-08,1.607264108408248e-06
689,689_closed,Mesh,32296,31650,16150,15827,3.089944735638399e-07,2.23455209946501e-07,1.3244167306690954e-07,1.3244167306690954e-07,0.00019321075676424323,3.264555224639118e-12,0.00019321075349968802,1.3131331934370698e-06,1.6813872229388774e-08,1.2963193212076811e-06
776,776_scene,Mesh,784100,768418,393653,385779,6.130272835430829e-07,4.500275309232908e-07,2.428458682889532e-07,2.428458682889532e-07,0.00040829832221960806,0.0,0.00040829832221960806,5.820652513693329e-06,1.8989509460363273e-08,5.801663004232965e-06
776,776_open,Mesh,37100,36358,18620,18247,6.12737492846939e-07,4.1776851711793185e-07,2.459583420087956e-07,2.459583420087956e-07,0.00040829832221960806,0.0,0.00040829832221960806,3.3411850784134573e-06,2.1275429932520278e-08,3.319909648480937e-06
776,776_closed,Mesh,40078,39276,20041,19640,6.121648600370349e-07,3.9914425756416327e-07,2.4918728566026e-07,2.4918728566026e-07,0.00040829832221960806,0.0,0.00040829832221960806,2.5453254087812264e-06,2.355458156747353e-08,2.521770827213753e-06
782,782_scene,Mesh,637947,625188,319864,313466,6.546854072258204e-07,4.4079081953753036e-07,2.8628217389969705e-07,2.8628217389969705e-07,0.00040829832221960806,0.0,0.00040829832221960806,2.5936624110551537e-06,2.603826987339655e-08,2.567624141181757e-06
782,782_open,Mesh,24177,23693,12211,11966,6.540658486359749e-07,4.2642915801179303e-07,2.8768075494187647e-07,2.8768075494187647e-07,0.00040829832221960806,0.0,0.00040829832221960806,2.1970541786065846e-06,2.863533143008389e-08,2.1684188471765006e-06
782,782_closed,Mesh,32810,32153,16407,16078,6.527510744859602e-07,4.147053980152757e-07,2.894146481798829e-07,2.894146481798829e-07,0.00040829832221960806,0.0,0.00040829832221960806,1.9566189759317616e-06,3.13363093427179e-08,1.9252826665890437e-06
784,784_scene,Mesh,1149751,1126755,575935,564416,7.638380880885602e-07,4.851242196845494e-07,3.2492241490684236e-07,3.2492241490684236e-07,0.0008158987042130106,0.0,0.0008158987042130106,4.041416009518374e-06,3.408483321175895e-08,4.007331176306615e-06
784,784_open,Mesh,60791,59575,30603,29990,7.608375479321711e-07,4.6369839412518236e-07,3.255221034876869e-07,3.255221034876869e-07,0.0008158987042130106,0.0,0.0008158987042130106,2.453666083272435e-06,3.786650613023237e-08,2.4157995771422023e-06
784,784_closed,Mesh,78918,77339,39457,38667,7.561473087136508e-07,4.5068493260098095e-07,3.2583429714964994e-07,3.2583429714964994e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.9325548564561697e-06,4.1919599705317594e-08,1.890635256750852e-06
786,786_scene,Mesh,905645,887532,454270,445184,8.327195859790062e-07,4.988782666744709e-07,3.5495118819818094e-07,3.5495118819818094e-07,0.0008158987042130106,0.0,0.0008158987042130106,3.780450799249786e-06,4.614086067198279e-08,3.7343099385778033e-06
786,786_open,Mesh,19902,19503,10077,9875,8.316693804513871e-07,4.807846401567173e-07,3.5534591193133994e-07,3.5534591193133994e-07,0.0008158987042130106,0.0,0.0008158987042130106,2.0963577310176027e-06,5.0462837245784924e-08,2.045894893771818e-06
786,786_closed,Mesh,27876,27318,13940,13661,8.299649033677171e-07,4.7060572248107913e-07,3.5576297398322466e-07,3.5576297398322466e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.8283824490441053e-06,5.45330686901813e-08,1.773849380353924e-06
787,787_scene,Mesh,782565,766913,392681,384827,8.708388125413281e-07,4.841367884949364e-07,3.652547487447573e-07,3.652547487447573e-07,0.0008158987042130106,0.0,0.0008158987042130106,2.366164601034661e-06,5.565158382445418e-08,2.310513017210207e-06
787,787_open,Mesh,31952,31312,16090,15768,8.68693339611662e-07,4.7366308284337507e-07,3.650548268168872e-07,3.650548268168872e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.7594801560425707e-06,6.035749919187333e-08,1.6991226568506974e-06
787,787_closed,Mesh,40056,39254,20030,19629,8.65975612008154e-07,4.6495637085883965e-07,3.6497951621633314e-07,3.6497951621633314e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.6494186571135253e-06,6.51218732495268e-08,1.5842967838639985e-06
789,789_scene,Mesh,631050,618429,316534,310203,8.53788979402357e-07,4.688856183778065e-07,3.706729412580702e-07,3.706729412580702e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.6323582048904297e-06,6.981537744428984e-08,1.5625428274461398e-06
789,789_open,Mesh,34036,33355,17081,16739,8.530606365329656e-07,4.624594303205032e-07,3.714073310517036e-07,3.714073310517036e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.5403954443568733e-06,7.54136941546845e-08,1.4649817502021887e-06
789,789_closed,Mesh,36770,36034,19828,19431,8.521289137513802e-07,4.566532474187963e-07,3.720184332510697e-07,3.720184332510697e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.4595393786521799e-06,8.112059553038973e-08,1.37841878312179e-06
792,792_scene,Mesh,700172,686168,350664,343650,8.496097478122234e-07,4.6403294673741794e-07,3.7883889910485934e-07,3.7883889910485934e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.6538645417865476e-06,8.62616812936895e-08,1.567602860492858e-06
792,792_open,Mesh,38643,37870,19407,19018,8.48302981146118e-07,4.5812952628472384e-07,3.7915233180847965e-07,3.7915233180847965e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.3985343005455629e-06,9.181383475249368e-08,1.3067204657930693e-06
792,792_closed,Mesh,43834,42957,21917,21478,8.467249349574243e-07,4.5298529776649067e-07,3.7953965100642737e-07,3.7953965100642737e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.3270178316788884e-06,9.678181217247467e-08,1.2302360195064137e-06
794,794_scene,Mesh,703030,688969,352695,345641,8.581520223811344e-07,4.7221842443472063e-07,3.9224580342599055e-07,3.9224580342599055e-07,0.0008158987042130106,0.0,0.0008158987042130106,2.0581032913791146e-06,1.0099486702896558e-07,1.957108424350149e-06
794,794_open,Mesh,18742,18367,9478,9288,8.577847746189707e-07,4.646707862501783e-07,3.9255813508143684e-07,3.9255813508143684e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.322458484012335e-06,1.0550876697321242e-07,1.2169497170391225e-06
794,794_closed,Mesh,24850,24353,12427,12178,8.571696675514915e-07,4.603088594939654e-07,3.9298363199587903e-07,3.9298363199587903e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.2650119910842846e-06,1.098434499119552e-07,1.1551685411723294e-06
795,795_scene,Mesh,796704,780769,399820,391823,8.386311230080517e-07,4.575856109378894e-07,3.874005167953996e-07,3.874005167953996e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.3576673548751012e-06,9.946319174696624e-08,1.258204163128135e-06
795,795_open,Mesh,10955,10735,5585,5473,8.380567736029444e-07,4.528549901320989e-07,3.8717937632469453e-07,3.8717937632469453e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.2191646272481915e-06,1.1310535442561862e-07,1.106059272822573e-06
795,795_closed,Mesh,15926,15607,7965,7805,8.371649211509446e-07,4.4838646860078745e-07,3.867701447274313e-07,3.867701447274313e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.1716059898052155e-06,1.1720871319941086e-07,1.0543972766058046e-06
800,880_scene,Mesh,717609,703256,360384,353176,8.680888579948921e-07,4.797934849649745e-07,4.038682642860485e-07,4.038682642860485e-07,0.0008158987042130106,0.0,0.0008158987042130106,2.3816785194867256e-06,1.212245528812028e-07,2.2604539666055226e-06
800,880_open,Mesh,38900,38122,19581,19189,8.675865118187632e-07,4.699363435994611e-07,4.04108758587399e-07,4.04108758587399e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.5335574252657655e-06,1.2569148881626247e-07,1.407865936449503e-06
800,880_closed,Mesh,47094,46152,23549,23078,8.66716260000744e-07,4.6540915231906723e-07,4.0443639169196395e-07,4.0443639169196395e-07,0.0008158987042130106,0.0,0.0008158987042130106,1.1700696689847733e-06,1.3008459767476864e-07,1.0399850713100047e-06
